=====================================================================
 SLURM_JOB_ID        = 41408
 SLURM_NODE          = gpic11
 SLURM_JOB_PARTITION = gpi.compute
 You can monitor your Job here: 
 https://dash.tsc.upc.edu:3000/d/ediwvcrdqru9sf/slurm-job-details?orgId=1&var-partition=gpi&var-user=joan.manel.cardenas&var-slurmjobid_id=41408&from=now-24h&to=now
=====================================================================
Number of samples in the test set: 1723
Test Loss: 1.2710319216604586, Test MAE: 2.610750385449256
Real Age: 58.849998474121094, Predicted Age: 63.15
Real Age: 70.94999694824219, Predicted Age: 67.64
Real Age: 70.66999816894531, Predicted Age: 69.23
Real Age: 53.900001525878906, Predicted Age: 55.1
Real Age: 69.36000061035156, Predicted Age: 70.38
Real Age: 68.5199966430664, Predicted Age: 67.0
Real Age: 61.54999923706055, Predicted Age: 59.19
Real Age: 63.84000015258789, Predicted Age: 61.98
Real Age: 70.22000122070312, Predicted Age: 69.87
Real Age: 62.38999938964844, Predicted Age: 64.78
Real Age: 57.900001525878906, Predicted Age: 58.84
Real Age: 51.9900016784668, Predicted Age: 54.19
Real Age: 64.1500015258789, Predicted Age: 60.03
Real Age: 56.150001525878906, Predicted Age: 57.03
Real Age: 49.869998931884766, Predicted Age: 51.89
Real Age: 62.66999816894531, Predicted Age: 62.37
Real Age: 70.66999816894531, Predicted Age: 69.44
Real Age: 65.37999725341797, Predicted Age: 58.52
Real Age: 55.81999969482422, Predicted Age: 56.26
Real Age: 70.62000274658203, Predicted Age: 69.91
Real Age: 55.34000015258789, Predicted Age: 55.54
Real Age: 73.27999877929688, Predicted Age: 72.63
Real Age: 48.36000061035156, Predicted Age: 52.55
Real Age: 62.709999084472656, Predicted Age: 64.28
Real Age: 64.33999633789062, Predicted Age: 67.71
Real Age: 69.62999725341797, Predicted Age: 73.77
Real Age: 51.2400016784668, Predicted Age: 53.64
Real Age: 66.33999633789062, Predicted Age: 67.92
Real Age: 47.7599983215332, Predicted Age: 51.87
Real Age: 63.560001373291016, Predicted Age: 60.49
Real Age: 64.72000122070312, Predicted Age: 64.21
Real Age: 61.709999084472656, Predicted Age: 61.47
Real Age: 67.18000030517578, Predicted Age: 69.48
Real Age: 63.40999984741211, Predicted Age: 65.63
Real Age: 69.37999725341797, Predicted Age: 71.83
Real Age: 67.3499984741211, Predicted Age: 69.25
Real Age: 53.45000076293945, Predicted Age: 53.93
Real Age: 55.29999923706055, Predicted Age: 55.23
Real Age: 69.70999908447266, Predicted Age: 71.94
Real Age: 73.2300033569336, Predicted Age: 69.01
Real Age: 64.72000122070312, Predicted Age: 65.71
Real Age: 57.540000915527344, Predicted Age: 63.03
Real Age: 57.720001220703125, Predicted Age: 60.84
Real Age: 68.04000091552734, Predicted Age: 62.37
Real Age: 69.76000213623047, Predicted Age: 68.01
Real Age: 60.5099983215332, Predicted Age: 55.23
Real Age: 62.36000061035156, Predicted Age: 61.52
Real Age: 55.970001220703125, Predicted Age: 52.0
Real Age: 75.94999694824219, Predicted Age: 72.15
Real Age: 70.37000274658203, Predicted Age: 71.38
Real Age: 69.0, Predicted Age: 67.55
Real Age: 67.91999816894531, Predicted Age: 69.58
Real Age: 70.44000244140625, Predicted Age: 70.64
Real Age: 66.05999755859375, Predicted Age: 63.25
Real Age: 71.41999816894531, Predicted Age: 64.01
Real Age: 74.93000030517578, Predicted Age: 72.01
Real Age: 60.150001525878906, Predicted Age: 59.73
Real Age: 60.91999816894531, Predicted Age: 65.65
Real Age: 70.73999786376953, Predicted Age: 69.4
Real Age: 73.2699966430664, Predicted Age: 72.73
Real Age: 70.68000030517578, Predicted Age: 70.63
Real Age: 66.0999984741211, Predicted Age: 61.11
Real Age: 51.58000183105469, Predicted Age: 55.06
Real Age: 69.02999877929688, Predicted Age: 68.7
Real Age: 55.040000915527344, Predicted Age: 51.6
Real Age: 51.68000030517578, Predicted Age: 54.13
Real Age: 50.150001525878906, Predicted Age: 52.06
Real Age: 70.16000366210938, Predicted Age: 69.25
Real Age: 69.88999938964844, Predicted Age: 70.92
Real Age: 56.900001525878906, Predicted Age: 56.21
Real Age: 68.43000030517578, Predicted Age: 66.66
Real Age: 67.5, Predicted Age: 66.2
Real Age: 63.720001220703125, Predicted Age: 67.39
Real Age: 52.9900016784668, Predicted Age: 52.51
Real Age: 65.26000213623047, Predicted Age: 70.19
Real Age: 68.30000305175781, Predicted Age: 68.25
Real Age: 65.62000274658203, Predicted Age: 58.35
Real Age: 63.90999984741211, Predicted Age: 65.38
Real Age: 53.08000183105469, Predicted Age: 65.95
Real Age: 55.25, Predicted Age: 60.2
Real Age: 59.439998626708984, Predicted Age: 67.06
Real Age: 67.5199966430664, Predicted Age: 63.77
Real Age: 62.040000915527344, Predicted Age: 68.71
Real Age: 73.0, Predicted Age: 71.25
Real Age: 61.029998779296875, Predicted Age: 61.26
Real Age: 62.900001525878906, Predicted Age: 60.42
Real Age: 61.349998474121094, Predicted Age: 57.85
Real Age: 55.65999984741211, Predicted Age: 65.79
Real Age: 52.88999938964844, Predicted Age: 51.94
Real Age: 68.62999725341797, Predicted Age: 66.06
Real Age: 66.88999938964844, Predicted Age: 70.35
Real Age: 68.73999786376953, Predicted Age: 71.89
Real Age: 56.77000045776367, Predicted Age: 53.38
Real Age: 69.26000213623047, Predicted Age: 71.35
Real Age: 74.79000091552734, Predicted Age: 71.29
Real Age: 58.63999938964844, Predicted Age: 60.12
Real Age: 66.88999938964844, Predicted Age: 70.32
Real Age: 67.36000061035156, Predicted Age: 69.79
Real Age: 64.91000366210938, Predicted Age: 59.88
Real Age: 54.869998931884766, Predicted Age: 58.5
Real Age: 71.0199966430664, Predicted Age: 67.88
Real Age: 55.97999954223633, Predicted Age: 58.29
Real Age: 70.16000366210938, Predicted Age: 69.08
Real Age: 78.08999633789062, Predicted Age: 74.25
Real Age: 65.06999969482422, Predicted Age: 59.83
Real Age: 48.08000183105469, Predicted Age: 54.99
Real Age: 69.98999786376953, Predicted Age: 71.44
Real Age: 64.12999725341797, Predicted Age: 63.94
Real Age: 61.2400016784668, Predicted Age: 65.39
Real Age: 61.86000061035156, Predicted Age: 60.41
Real Age: 59.560001373291016, Predicted Age: 58.52
Real Age: 63.91999816894531, Predicted Age: 64.55
Real Age: 61.290000915527344, Predicted Age: 56.24
Real Age: 66.5999984741211, Predicted Age: 68.74
Real Age: 57.04999923706055, Predicted Age: 62.66
Real Age: 55.38999938964844, Predicted Age: 57.98
Real Age: 50.41999816894531, Predicted Age: 52.63
Real Age: 66.06999969482422, Predicted Age: 63.5
Real Age: 61.7400016784668, Predicted Age: 65.63
Real Age: 53.77000045776367, Predicted Age: 53.89
Real Age: 69.98999786376953, Predicted Age: 61.14
Real Age: 60.33000183105469, Predicted Age: 64.84
Real Age: 64.6500015258789, Predicted Age: 67.62
Real Age: 75.43000030517578, Predicted Age: 72.62
Real Age: 66.9800033569336, Predicted Age: 66.11
Real Age: 66.44999694824219, Predicted Age: 68.19
Real Age: 64.08999633789062, Predicted Age: 66.49
Real Age: 71.77999877929688, Predicted Age: 70.55
Real Age: 57.41999816894531, Predicted Age: 56.14
Real Age: 63.41999816894531, Predicted Age: 60.75
Real Age: 53.38999938964844, Predicted Age: 51.69
Real Age: 53.209999084472656, Predicted Age: 53.31
Real Age: 69.13999938964844, Predicted Age: 70.92
